freq,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PC_HH,ITF2	57.53 	60.64 	67.57 	71.69 	74.00 	78.27 	75.24 	79.80 	81.25 	86.45 	91.13 	91.10 
A,PC_HH,ITF3	56.22 	61.89 	66.34 	71.15 	71.86 	78.31 	78.25 	79.75 	84.94 	88.91 	89.27 	88.08 
A,PC_HH,ITF4	56.67 	62.13 	67.85 	68.22 	71.69 	76.19 	78.44 	78.51 	81.82 	84.39 	87.84 	87.80 
A,PC_HH,ITF5	51.11 	66.96 	63.72 	68.96 	71.97 	74.96 	78.60 	79.90 	80.79 	86.85 	86.43 	84.22 
A,PC_HH,ITF6	54.07 	59.52 	62.58 	66.77 	68.63 	70.86 	74.74 	76.99 	77.38 	84.86 	83.22 	82.40 
A,PC_HH,ITG1	55.25 	58.89 	63.79 	67.16 	69.92 	75.19 	75.78 	77.97 	79.87 	84.79 	88.55 	88.14 
A,PC_HH,ITG2	63.65 	70.28 	76.20 	74.79 	80.46 	79.64 	86.80 	85.40 	86.45 	91.56 	89.51 	92.60 
A,PC_HH,ITH1	70.29 	75.72 	79.61 	81.04 	79.17 	82.32 	87.40 	88.07 	92.24 	90.57 	92.98 	93.34 
A,PC_HH,ITH2	68.24 	71.43 	77.00 	81.04 	81.66 	83.08 	88.94 	92.16 	93.42 	93.22 	97.16 	95.61 
A,PC_HH,ITH3	64.70 	74.72 	75.04 	78.84 	81.57 	82.08 	86.77 	88.89 	91.45 	91.53 	93.19 	94.77 
A,PC_HH,ITH4	65.04 	71.61 	77.77 	79.95 	80.72 	81.90 	84.76 	88.33 	93.23 	91.98 	92.66 	92.33 
A,PC_HH,ITH5	66.75 	75.08 	78.88 	79.45 	81.91 	84.08 	89.87 	90.32 	92.07 	93.83 	92.37 	94.05 
A,PC_HH,ITI1	63.85 	72.65 	75.56 	76.03 	81.63 	82.54 	87.11 	86.52 	91.80 	91.96 	93.42 	93.76 
A,PC_HH,ITI2	63.17 	73.06 	71.96 	78.42 	79.40 	80.05 	84.55 	86.26 	87.04 	91.23 	91.94 	92.14 
A,PC_HH,ITI3	66.94 	73.32 	74.51 	79.21 	79.57 	84.98 	88.23 	87.02 	90.64 	89.06 	92.83 	93.49 
A,PC_HH,ITI4	67.06 	72.52 	74.14 	78.86 	80.89 	82.14 	86.51 	88.01 	92.09 	93.06 	91.40 	93.04 
A,PC_HH,LT00	60.12 	64.73 	65.97 	68.26 	71.75 	74.97 	: 	: 	: 	: 	: 	: 
A,PC_HH,LT01	: 	: 	: 	: 	: 	: 	81.75 	83.39 	86.59 	88.03 	89.49 	92.05 
A,PC_HH,LT02	: 	: 	: 	: 	: 	: 	77.06 	80.77 	80.34 	85.94 	86.96 	87.11 
A,PC_HH,LU00	93.08 	94.46 	95.56 	96.78 	97.04 	97.23 	92.99 b	95.20 	93.57 	99.18 	97.64 	99.06 
A,PC_HH,LV00	68.68 	71.60 	73.38 	76.00 	77.34 b	78.61 	81.58 	85.45 	89.73 	91.15 	91.39 	93.07 
A,PC_HH,MK00	58.30 	65.08 	68.34 	69.38 	75.29 	73.58 	79.32 	81.62 	79.39 	: 	: 	: 
