DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE25,2022,94.54,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE25,2023,92.86,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE31,2012,87.58,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE31,2013,83.83,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE31,2014,86.98,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE31,2015,84.70,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE31,2016,88.10,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE31,2017,88.68,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE31,2018,88.92,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE31,2019,90.96,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE31,2020,95.91,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE31,2021,95.53,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE31,2022,97.68,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE31,2023,94.05,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE32,2012,67.25,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE32,2013,72.14,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE32,2014,74.46,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE32,2015,77.01,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE32,2016,75.42,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE32,2017,78.94,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE32,2018,82.15,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE32,2019,83.46,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE32,2020,87.10,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE32,2021,88.20,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE32,2022,91.74,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE32,2023,93.73,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE33,2012,72.10,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE33,2013,76.93,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE33,2014,77.39,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE33,2015,77.91,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE33,2016,83.60,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE33,2017,84.57,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE33,2018,85.59,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE33,2019,88.66,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE33,2020,92.01,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE33,2021,91.67,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE33,2022,92.91,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE33,2023,94.20,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE34,2012,75.79,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE34,2013,76.42,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE34,2014,81.24,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE34,2015,81.61,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE34,2016,88.39,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE34,2017,84.54,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE34,2018,86.15,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE34,2019,89.98,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE34,2020,86.66,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE34,2021,89.25,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE34,2022,90.48,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE34,2023,91.43,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE35,2012,75.64,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE35,2013,78.82,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE35,2014,81.59,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE35,2015,78.19,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE35,2016,79.18,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE35,2017,82.72,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BE35,2018,80.94,
